STATION,NAME,DATE,PRCP,MONTH,YEAR
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-19,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-20,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-21,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-22,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-23,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-24,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-25,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-26,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-27,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-28,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-29,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-01,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-02,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-03,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-04,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-05,0.24,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-06,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-07,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-09,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-11,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-12,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-13,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-14,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-16,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-17,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-18,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-19,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-21,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-23,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-24,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-25,0.2,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-26,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-27,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-28,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-05-29,0.0,5,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-01,0.0,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-02,0.03,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-03,0.24,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-04,0.36,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-05,5.16,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-06,0.04,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-07,0.07,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-08,0.0,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-10,0.0,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-12,0.02,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-13,0.06,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-14,0.0,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-15,0.58,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-16,0.06,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-17,0.0,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-19,0.0,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-20,0.0,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-21,0.0,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-22,0.0,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-23,0.04,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-24,0.22,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-25,0.19,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-26,0.0,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-27,0.0,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-28,0.0,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-29,0.0,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-06-30,0.0,6,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-01,2.58,7,1991
