"STATION","NAME","DATE","PRCP"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-06","0.04"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-07","0.28"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-08","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-09",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-10","1.65"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-11","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-12","0.01"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-13","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-14",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-15",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-16","0.04"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-17","0.71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-18","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-19",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-20","0.43"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-21","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-22","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-23",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-24",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-25","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-26","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-27","0.16"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-28","0.59"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-29","1.30"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-30","0.39"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-08-31","0.04"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-01","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-02",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-03",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-04","0.20"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-05","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-06","0.94"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-07","0.39"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-08","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-09",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-10","0.16"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-11","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-12",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-13",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-14",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-15",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-16",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-17",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-18",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-19",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-20",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-21","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-22","1.85"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-23","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-24","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-25",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-26","0.47"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-27","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-28",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-29",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-09-30","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-01","0.16"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-02","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-03","0.28"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-04","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-05","0.39"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-06","1.69"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-07","0.63"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-08","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-09",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-10","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-11","0.91"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-12","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-13","0.02"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-14","0.12"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-15","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-16",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-17",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-18",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-19",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-20",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-21","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-22",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-23",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-24",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-25",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-26",
